asset_id,type,tool,prompt_summary,iterations,manual_edit_minutes,main_problems,godot_import_notes,final_path
robot7.png,sprite,ChatGPT,"given reference image, create robot wheels animation, neon blue, head bob, wheel glow",8,30,"the spritesheet wasn't working, needed to create crop 8 seperate pngs, needed to remove background",scaled down 50%,res://assets_ai/processed/sprites/robot/
idle.png,sprite,ChatGPT,"a cyberpunk monkey, 2d cartoon style, idle pose, staring towards the screen, 256 by 256",3,10,"needed post edits like cropping and resizing, background removed",,res://assets_ai/processed/sprites/player/idle/
fire.png,sprite,ChatGPT,"i want the monkey to look like he is blowing on air, transparent background, the just the act of blowing should be depicted",4,10,"needed post edits like cropping and resizing, background removed",,res://assets_ai/processed/sprites/player/fire/
jump.png,sprite,ChatGPT,generate a jump pose,1,10,"needed post edits like cropping and resizing, background removed",,res://assets_ai/processed/sprites/player/jump/
run0.png,sprite,ChatGPT,"can you generate 8 images of the monkey moving left in animated frames sense ",10,50,"sprite sheet problems, broken down into 8 pngs from run0 to run7, background needed to be removed, size wasn't correct","had to be scaled down, animated sprites needed to reordered",res://assets_ai/processed/sprites/player/run/
run1.png,sprite,ChatGPT,"can you generate 8 images of the monkey moving left in animated frames sense ",10,50,"sprite sheet problems, broken down into 8 pngs from run0 to run7, background needed to be removed, size wasn't correct","had to be scaled down, animated sprites needed to reordered",res://assets_ai/processed/sprites/player/run/
run2.png,sprite,ChatGPT,"can you generate 8 images of the monkey moving left in animated frames sense ",10,50,"sprite sheet problems, broken down into 8 pngs from run0 to run7, background needed to be removed, size wasn't correct","had to be scaled down, animated sprites needed to reordered",res://assets_ai/processed/sprites/player/run/
run3.png,sprite,ChatGPT,"can you generate 8 images of the monkey moving left in animated frames sense ",10,50,"sprite sheet problems, broken down into 8 pngs from run0 to run7, background needed to be removed, size wasn't correct","had to be scaled down, animated sprites needed to reordered",res://assets_ai/processed/sprites/player/run/
run4.png,sprite,ChatGPT,"can you generate 8 images of the monkey moving left in animated frames sense ",10,50,"sprite sheet problems, broken down into 8 pngs from run0 to run7, background needed to be removed, size wasn't correct","had to be scaled down, animated sprites needed to reordered",res://assets_ai/processed/sprites/player/run/
run5.png,sprite,ChatGPT,"can you generate 8 images of the monkey moving left in animated frames sense ",10,50,"sprite sheet problems, broken down into 8 pngs from run0 to run7, background needed to be removed, size wasn't correct","had to be scaled down, animated sprites needed to reordered",res://assets_ai/processed/sprites/player/run/
run6.png,sprite,ChatGPT,"can you generate 8 images of the monkey moving left in animated frames sense ",10,50,"sprite sheet problems, broken down into 8 pngs from run0 to run7, background needed to be removed, size wasn't correct","had to be scaled down, animated sprites needed to reordered",res://assets_ai/processed/sprites/player/run/
run7.png,sprite,ChatGPT,"can you generate 8 images of the monkey moving left in animated frames sense ",10,50,"sprite sheet problems, broken down into 8 pngs from run0 to run7, background needed to be removed, size wasn't correct","had to be scaled down, animated sprites needed to reordered",res://assets_ai/processed/sprites/player/run/
